Pitches / Hits,,ERA,Wins,Losses,Saves,AVG against,G,GS,CG,IP,ER,Hits,SO,BB,HB,WP,BK
,Matt Mantei,3.520208605,,,,0.206825233,5,,,7.67,3,6,7,1,,,
,Rod Beck,4.911323329,,1,2,0.214362272,5,,,7.33,4,6,6,2,,,
,Darryl Kile,13.50613915,,1,,0.436009233,3,2,,7.33,11,17,4,5,,,
,Danny Darwin,3.862660944,,,,0.3003003,1,,,2.33,1,3,,,,,
,Pedro Martinez,3,,1,,0.191011236,3,3,1,24,8,17,24,2,2,,
,Andy Ashby,5.785123967,2,,,0.299978573,4,4,1,32.67,21,42,21,3,,1,
,Aaron Sele,3.712035996,1,2,,0.199980002,4,4,1,26.67,11,20,18,10,1,,
,Armando Reynoso,6.6,1,1,,0.285714286,3,3,,15,11,18,7,9,1,1,
,Marc Pisciotta,5.687203791,,,,0.269334359,5,,,6.33,4,7,4,2,,,
,Steve Kline,6,,1,,0.25,6,,,6,4,6,2,7,1,,
,Jesse Orosco,5.4,1,1,,0.166666667,7,,,5,3,3,5,5,1,,
,Robb Nen,1.038062284,1,,4,0.16123831,6,,,8.67,1,5,8,1,,,
,Mark Guthrie,4.047976012,,1,,0.259163273,6,,,6.67,3,7,4,2,,,
,Jason Bere,10.28571429,1,1,,0.382352941,3,2,,14,16,26,11,5,1,1,
,Roger Clemens,4.68,2,,,0.20212766,3,3,1,25,13,19,24,3,3,,
,Jeff Shaw,0,1,,3,0.111172874,6,,,5.33,,2,8,1,,,
,Andy Pettitte,3,2,1,,0.25,3,3,1,21,7,21,18,4,,,
,Paul Shuey,1.421800948,,,,0.136425648,5,,,6.33,1,3,3,1,,,
,Arthur Rhodes,2.530459231,2,,,0.219458669,6,,,10.67,3,9,9,6,,,
,Tim Wakefield,6.882352941,1,1,,0.35443038,3,3,,17,13,28,19,2,1,,
,Orel Hershiser,6.352941176,1,1,,0.301369863,3,3,,17,12,22,5,3,,,
,John Franco,4.911323329,1,,,0.214362272,7,,,7.33,4,6,9,2,,,
,Jimmy Key,5.75504181,,1,,0.329706561,6,3,,20.33,13,30,16,3,2,,
,Greg McMichael,54.54545455,,,,0.668896321,1,,,0.33,2,2,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
